,company,location,skills,experience
304,Cognizant Technology Solutions,Hyderabad/Secunderabad,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
305,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
306,Cognizant Technology Solutions,Hyderabad/Secunderabad,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
307,Morningstar India Pvt Ltd,,"sql  ,  database  ,  python  ,  team player  ,  reporting tools",2 - 7 yrs
308,BOEING,Bengaluru / Bangalore,"information technology  ,  database  ,  java  ,  production environment",0 - 4 yrs
309,CMOTS INTERNET TECHNOLOGIES PVT LTD,Chennai,"MS Excel   ,  VBA   ,    Analysing   ,   Maintaining database   ,   Increasing productivity   ,   Reconciling data   ,   finance   ,  analytical abilities.",0 - 3 yrs
310,Analytics Vidhya,Chennai,"c    ,  python  ,  c  ,  sas  ,  machine learning  ,  java  ,  big data",2 - 5 yrs
311,Analytics Vidhya,"Noida/Greater Noida,  Delhi,  Delhi/NCR","problem solving  ,  machine learning  ,  database",2 - 6 yrs
312,Analytics Vidhya,Bengaluru / Bangalore,"python  ,  sas  ,  data mining  ,  ensemble  ,  machine learning  ,  sql  ,  pl  /  sql",6 - 9 yrs
313,Cubic Transportation Systems India Pvt Ltd,Hyderabad/Secunderabad,"information technology  ,  sap bo  ,  business intelligence  ,  bex  ,  sap bw  ,  webi  ,  business objects  ,  bi  ,  sql  ,  security  ,  database  ,  computer application  ,  infrastructure  ,  project delivery",5 - 8 yrs
314,Analytics Vidhya,Bengaluru / Bangalore,"python  ,  sas  ,  data mining  ,  ensemble  ,  machine learning  ,  sql  ,  pl  /  sql",2 - 5 yrs
315,COMMSCOPE,,"hr  ,  talent acquisition  ,  recruitment  ,  creative thinking  ,  interview",2 - 5 yrs
316,6sense,San Francisco,"hive  ,  sql  ,  git  ,  hadoop  ,  big data  ,  python  ,  machine learning  ,  infrastructure  ,  unix",5 - 8 yrs
317,Analytics Vidhya,Bengaluru / Bangalore,"rdbms  ,  oracle  ,  sql  ,  database  ,  ssrs  ,  sql programming",2 - 3 yrs
318,Analytics Vidhya,Bengaluru / Bangalore,"rdbms  ,  oracle  ,  sql  ,  database",2 - 5 yrs
319,Morningstar India Pvt Ltd,,"sql  ,  database  ,  python  ,  team player  ,  reporting tools",0 - 2 yrs
320,Bloom Consulting Services,Bengaluru / Bangalore,"python  ,  bi  ,  problem solving  ,  big data  ,  sql",0 - 3 yrs
321,BOLD,Noida/Greater Noida,"bi  ,  san  ,  python  ,  messaging  ,  infrastructure",3 - 5 yrs
322,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
323,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
324,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
325,Analytics Vidhya,Chennai,"python  ,  sas  ,  scala  ,  sql  ,  database  ,  infrastructure",4 - 7 yrs
326,GeP Solutions Pvt. Ltd.,"Navi Mumbai,  Mumbai","SQL  ,  data sources  ,  Data Builder",0 - 3 yrs
327,BOLD,Noida/Greater Noida,"data validation  ,  qa  ,  writing  ,  san  ,  sql queries  ,  agile  ,  metrics",3 - 5 yrs
328,Grab,Bengaluru / Bangalore,"information technology  ,  spss  ,  dashboards  ,  sql  ,  data visualization  ,  data analysis  ,  sas  ,  tableau  ,  analyst",3 - 6 yrs
329,Textron India Pvt Ltd,Canada,"c  ,  life cycle  ,  data integrity  ,  matrix  ,  metrics",2 - 3 yrs
330,Textron India Pvt Ltd,,"c  ,  life cycle  ,  data integrity  ,  matrix  ,  metrics",2 - 3 yrs
331,Textron India Pvt Ltd,,"c  ,  life cycle  ,  data integrity  ,  matrix  ,  metrics",2 - 3 yrs
332,Bloom Consulting Services,Bengaluru / Bangalore,"algorithms  ,  technical leader  ,  sql  ,  pig  ,  perl  ,  big data  ,  python  ,  sas  ,  machine learning  ,  ruby  ,  nosql  ,  mapreduce",6 - 9 yrs
333,Exxonmobil Company India Pvt Ltd,Bengaluru / Bangalore,"t-sql  ,  ssrs  ,  bi  ,  sql  ,  database  ,  technical skills  ,  problem solving  ,  written communication  ,  infrastructure",6 - 9 yrs
334,ivy comptech private limited,Hyderabad/Secunderabad,"security  ,  database  ,  director  ,  servicenow  ,  ms office suite  ,  reporting tools",0 - 3 yrs
335,HP ENTERPRISE SERVICES,Mexico,"business marketing  ,  demand generation  ,  campaigns  ,  marketing  ,  trade  ,  marketing programs",7 - 10 yrs
336,Jio Saavan,"Gurgaon,  Mumbai,  Bengaluru / Bangalore","hive  ,  bi  ,  sql  ,  big data  ,  python  ,  mobile  ,  written communication  ,  infrastructure",1 - 2 yrs
337,FIS GLOBAL BUSINESS SOLUTIONS INDIA PVT. LTD,Bengaluru / Bangalore,"plsql  ,  sql  ,  security  ,  unix shell scripting  ,  pl  /  sql",6 - 9 yrs
338,Cognizant Technology Solutions,Hyderabad/Secunderabad,"database  ,  cTJDA activities",0 - 3 yrs
339,vimeo technologies private limited,New York City,"python  ,  github  ,  bi  ,  sql  ,  git",5 - 8 yrs
340,J Walter Thompson India Pvt Ltd,,"sql  ,  crm  ,    ,  data cleansing  ,   data enrichment  ,   data combining",0 - 3 yrs
341,QuEST Global Engineering Pvt Ltd,,"Regulated Industries  instruction  ,  aerospace  ,  technology development",1 - 3 yrs
342,ORACLE,Mexico,"program management  ,  sql  ,  oracle  ,  mx  ,  swing  ,  written communication  ,  infrastructure",7 - 10 yrs
343,PubMatic India Pvt. Ltd.,Pune,"hive  ,  sql  ,  java  ,  mysql  ,  html  ,  hadoop  ,  technical skills  ,  python  ,  problem solving  ,  vb  ,  mapreduce  ,  infrastructure  ,  php",2 - 5 yrs
344,Machintel,Pune,"research  ,  primary research  ,  company profiling",2 - 7 yrs
345,WALMART INDIA,,"business requirements  ,  information technology  ,  use cases  ,  data analytics  ,  data governance  ,  bi  ,  sql  ,  data science  ,  data visualization  ,  data analysis  ,  sas  ,  big data analytics  ,  tableau  ,  statistical analysis",4 - 7 yrs
346,Paypal India Pvt Ltd,Chennai,"program management  ,  sql  ,  python  ,  sas  ,  mobile  ,  problem solving",2 - 4 yrs
347,Paypal India Pvt Ltd,"Chennai,  Bengaluru / Bangalore","opex  ,  commerce  ,  loss  ,  accounts  ,  online payment",0 - 3 yrs
348,New Century Health,,"test case creation  ,  healthcare  ,  sql  ,  database  ,  ui  ,  xml  ,  user acceptance testing  ,  jira  ,  sas macros  ,  sas  ,  testing",0 - 3 yrs
349,Binance,Singapore,"c    ,  sql  ,  database management  ,  java  ,  python  ,  sas  ,  nosql  ,  neo4j",5 - 8 yrs
350,PDI Software,,"sql coding  ,  salesforce  ,  crm  ,  oracle  ,  director  ,  team player  ,  messaging",2 - 5 yrs
351,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
352,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
353,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
354,Cognizant Technology Solutions,Mumbai,"database  ,  SOP  ,   QC checklists",0 - 3 yrs
355,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
356,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
357,Pinkerton Consulting & Investigations Inc.,Singapore,"arcgis  ,  data mining  ,  bi  ,  esri  ,  sharepoint  ,  sql  ,  security  ,  computer skills  ,  devops  ,  rest  ,  python  ,  database programming",2 - 7 yrs
358,PRGX India Private Ltd,Spain,"database  ,  python  ,  c  ,  information management  ,  team player",2 - 7 yrs
359,CLEARWATER TECHNOLOGIES PVT LTD,,"reports  ,  vlookup  ,  accounting  ,  reporting  ,  reconciliation  ,  excel  ,  investment accounting  ,  annual reports",0 - 3 yrs
360,Abbott India Ltd,Ireland,"metadata  ,  information technology  ,  etl  ,  oracle  ,  data architect  ,  dwh  ,  idq  ,  erp sap  ,  bi  ,  manufacturing management  ,  sql  ,  data modeling  ,  sap functional  ,  perl  ,  informatica",2 - 3 yrs
361,NTT Data Vertex Software Inc.,Bengaluru / Bangalore,"Google Analytics  ,  Digital Marketing  ,  Google Search",8 - 10 yrs
362,gantec publishing solutions pvt. ltd.,,"mobile  ,  sql  ,  dash",2 - 5 yrs
363,Paypal India Pvt Ltd,Bengaluru / Bangalore,"loss  ,  legal  ,  reporting  ,  strong analytical skills  ,  excel  ,  accounts",0 - 3 yrs
364,Gartner India Research & Advisory Services Pvt Ltd,,"omniture  ,  marketing campaigns  ,  campaigns  ,  marketing analytics  ,  marketing  ,  marketing initiatives  ,  web analytics  ,  google analytics",4 - 7 yrs
365,WALMART INDIA,,"information technology  ,  java  ,  python  ,  hive  ,  algorithms  ,  scala  ,  bi  ,  sql  ,  hadoop  ,  technical skills  ,  pattern recognition  ,  machine learning",5 - 6 yrs
366,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
367,Cognizant Technology Solutions,Kolkata,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
368,Alstom Projects India Ltd.,Philippines,"accounts payable  ,  erp  ,  sap  ,  general accounting  ,  accounting  ,  commerce  ,  external audit  ,  accounts  ,  finance",2 - 3 yrs
369,ESRI INDIA,,"bi  ,  esri  ,  mining  ,  sql",3 - 6 yrs
370,Cadence Design Systems India Pvt Ltd,Bengaluru / Bangalore,"bi  ,  dashboards  ,  sql  ,  database  ,  data visualization  ,  macros  ,  data analysis  ,  data analytics  ,  tableau  ,  statistical analysis",4 - 7 yrs
371,HP ENTERPRISE SERVICES,Bengaluru / Bangalore,"bi  ,  data warehousing  ,  sql  ,  java  ,  devops  ,  python  ,  mobile  ,  microsoft azure  ,  machine learning  ,  javascript  ,  nosql",0 - 2 yrs
372,Grab,Bengaluru / Bangalore,"python  ,  bi  ,  sql  ,  big data",4 - 7 yrs
373,APPLYCUP HIRING SOLUTIONS LLP,Chennai,"algorithms  ,  machine learning  ,  artificial intelligence  ,  data extraction  ,  written communication",0 - 2 yrs
374,CDK Global,Hyderabad/Secunderabad,"database  ,  information technology  ,   integrated information technology",2 - 3 yrs
375,NTT Data Vertex Software Inc.,Canada,"bi  ,  data architecture  ,  sql  ,  database  ,  data services  ,  data architect  ,  written communication  ,  infrastructure  ,  data integration",7 - 10 yrs
376,HP ENTERPRISE SERVICES,Bengaluru / Bangalore,"docker  ,  linux  ,  software engineer  ,  shell scripting  ,  big data  ,  python  ,  mobile  ,  nosql  ,  infrastructure",4 - 10 yrs
377,ABB,Bengaluru / Bangalore,"business intelligence  ,  sap bw  ,  etl  ,  bi developer  ,  ssas  ,  director  ,  ssis  ,  bi  ,  msbi",6 - 9 yrs
378,Vericle,Hyderabad/Secunderabad,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
379,Vericle,Cochin/ Kochi/ Ernakulam,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
380,Vericle,Hyderabad/Secunderabad,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
381,Vericle,Chennai,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
382,Vericle,Bengaluru / Bangalore,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
383,Vericle,Delhi,"bi  ,  sql  ,  database  ,  machine learning",0 - 3 yrs
384,QBE Insurance Group Limited,,"bi  ,  sql  ,  database  ,  oracle  ,  sybase  ,  exceptions  ,  reporting tools",0 - 3 yrs
385,WALMART INDIA,,"information technology  ,  rest api  ,  data mining  ,  sql  ,  python  ,  ms access  ,  ibm db2  ,  servicenow",3 - 6 yrs
386,WALMART INDIA,,"business requirements  ,  information technology  ,  digitization  ,  use cases  ,  data analytics  ,  data governance  ,  bi  ,  sql  ,  data science  ,  data visualization  ,  data analysis  ,  sas  ,  big data analytics  ,  tableau  ,  statistical analysis",4 - 7 yrs
387,AstraZeneca Ltd,Chennai,"information technology  ,  sql  ,  python  ,  oracle  ,  nosql  ,  it strategy",0 - 3 yrs
388,PUBLICIS GROUPE,Bengaluru / Bangalore,"database  ,  data structures  ,  crm  ,  information management  ,  identity management",1 - 2 yrs
389,DG7,Mumbai,"algorithms  ,  data mining  ,  data extraction  ,  mysql  ,  sem  ,  crm  ,  python  ,  team player",0 - 3 yrs
390,Careem,Cairo,"visualization  ,  hosting  ,  dashboards  ,  tableau  ,  analyst",5 - 8 yrs
391,Careem,Pakistan,"visualization  ,  hosting  ,  dashboards  ,  tableau  ,  analyst",5 - 8 yrs
392,WALMART INDIA,,"information technology  ,  advanced analytics  ,  data analytics  ,  bi  ,  sql  ,  data science  ,  data visualization  ,  data analysis  ,  tableau",4 - 7 yrs
393,WALMART INDIA,,"corrective action  ,  kanban  ,  innovation  ,  ideas",4 - 7 yrs
394,WALMART INDIA,,"algorithms  ,  information technology  ,  scala  ,  data mining  ,  api  ,  python  ,  sas  ,  machine learning  ,  mapreduce",6 - 9 yrs
395,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
396,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
397,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
398,Cognizant Technology Solutions,Pune,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
399,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
400,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
401,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
402,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
403,Cognizant Technology Solutions,Kolkata,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
404,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
405,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
406,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
407,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
408,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
409,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
410,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
411,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
412,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
413,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
414,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
415,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
416,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
417,Cognizant Technology Solutions,Coimbatore,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
418,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
419,Cognizant Technology Solutions,Coimbatore,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
420,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
421,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
422,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
423,Cognizant Technology Solutions,Pune,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
424,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
425,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
426,Cognizant Technology Solutions,Pune,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
427,Cognizant Technology Solutions,Pune,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
428,Cognizant Technology Solutions,Mumbai,"pharmacovigilance  ,  case processing  ,  life sciences  ,  query management  ,  cdm  ,  clinical  ,  pharmacy",0 - 3 yrs
429,DST SYSTEMS,,"reports  ,  front end  ,  c  ,  sql server  ,  technical design",5 - 8 yrs
430,2SOFT SOLUTIONS PVT LTD,Mumbai,"bi  ,  data warehousing  ,  sql  ,  database development  ,  database  ,  ssrs  ,  mysql  ,  cloud computing  ,  solution architect  ,  sas  ,  triggers",5 - 8 yrs
431,Zealogics LLC.,,"hive  ,  data mining  ,  data structures  ,  hadoop  ,  big data  ,  cloud computing  ,  hbase  ,  c  ,  microsoft azure  ,  machine learning",12 - 15 yrs
432,Dun and Bradstreet Inc,Hyderabad/Secunderabad,"metadata  ,  data architecture  ,  data structures  ,  data transformation",0 - 3 yrs
433,Schneider Electric Pvt Ltd,,"fi  ,  ecc  ,  sap implementation  ,  data migration  ,  master data  ,  sap  ,  ep  ,  migration  ,  forms",0 - 3 yrs
434,BOLD,Noida/Greater Noida,"bi  ,  business intelligence  ,  etl  ,  san",2 - 6 yrs
435,INMOBI TECHNOLOGY SERVICES PRIVATE LIMITED,Bengaluru / Bangalore,"bi  ,  dashboards  ,  sql  ,  advanced excel  ,  consulting  ,  mobile  ,  business analytics  ,  tableau  ,  vba",3 - 6 yrs
436,Plasma,Dallas,"information technology  ,  oracleagile  ,  sql",1 - 4 yrs
437,Paypal India Pvt Ltd,Bengaluru / Bangalore,"data mining  ,  sql  ,  python  ,  mobile  ,  machine learning",3 - 6 yrs
438,Paypal India Pvt Ltd,Chennai,"data mining  ,  sql  ,  python  ,  mobile  ,  machine learning",3 - 6 yrs
439,Paypal India Pvt Ltd,Chennai,"data mining  ,  sql  ,  python  ,  mobile  ,  machine learning",3 - 6 yrs
440,Paypal India Pvt Ltd,Bengaluru / Bangalore,"data mining  ,  sql  ,  python  ,  mobile  ,  machine learning",3 - 6 yrs
441,Taboola,Israel,"algorithms  ,  data mining  ,  bi  ,  sql  ,  database  ,  java  ,  big data  ,  python  ,  mobile  ,  machine learning",3 - 6 yrs
442,DemandMatrix,Pune,"python  ,  bi  ,  sql  ,  postgresql  ,  xml  ,  linux  ,  json  ,  html",5 - 8 yrs
443,Hash connect,Bengaluru / Bangalore,"trend  ,  google adwords  ,  marketing  ,  campaigns",3 - 5 yrs
444,AURIGO SOFTWARE TECHNOLOGIES,Bengaluru / Bangalore,"salesforce  ,  database  ,  team player",1 - 2 yrs
445,APPLYCUP HIRING SOLUTIONS LLP,Chennai,"web security  ,  hacking  ,  IT security  ,  vulnerability  ,  database programming  ,  database  ,  security  ,  penetration testing  ,  security operations center  ,  data security  ,  operating system  ,  information security  ,  access management  ,  security architecture  ,  infrastructure",5 - 8 yrs
446,Thrillophilia,Jaipur,"Marketing Solutions  ,   diagnose business needs  ,   marketing services",0 - 3 yrs
447,PUBLICIS GROUPE,Bengaluru / Bangalore,"big data  ,  python  ,  system management  ,  unix  ,  sql  ,  hadoop  ,  crm  ,  sas  ,  problem solving  ,  team player  ,  identity management  ,  written communication  ,  sas access",5 - 8 yrs
448,Binance,Singapore,"hive  ,  python  ,  bi  ,  sql  ,  hadoop  ,  big data",1 - 3 yrs
449,sRide Carpool App,Pune,"visualization  ,  data analysis  ,  dashboards  ,  sql  ,  data extraction  ,  tableau  ,  analyst",3 - 6 yrs
450,WALMART INDIA,,"business requirements  ,  information technology  ,  use cases  ,  data analytics  ,  data governance  ,  bi  ,  sql  ,  data science  ,  data visualization  ,  data analysis  ,  sas  ,  big data analytics  ,  tableau  ,  statistical analysis",4 - 7 yrs
451,PUBLICIS GROUPE,Bengaluru / Bangalore,"sql  ,  hadoop  ,  big data  ,  crm  ,  python  ,  sas  ,  system management  ,  problem solving  ,  team player  ,  identity management  ,  written communication  ,  sas access",5 - 9 yrs
452,Analytics Vidhya,"Gurgaon,  Pune","algorithms  ,  c    ,  sql  ,  java  ,  hadoop  ,  big data  ,  c  ,  sas  ,  problem solving",5 - 6 yrs
453,Lionbridge Technologies Pvt Ltd,Kolkata,"bi  ,  sql  ,  cloud computing  ,  python  ,  natural language processing  ,  information management  ,  machine learning",5 - 8 yrs
454,Fine Jobs Consultant Pvt. Ltd.,Noida/Greater Noida,"problem solving  ,  logical thinking  ,  written communication",0 - 3 yrs
455,Jumio Corporation,Bengaluru / Bangalore,"sql  ,  big data  ,  mobile  ,  mining  ,  machine learning  ,  infrastructure",0 - 3 yrs
456,PUBLICIS GROUPE,Bengaluru / Bangalore,"artificial intelligence  ,  sql  ,  crm  ,  python  ,  sas  ,  machine learning  ,  identity management  ,  sql programming",4 - 7 yrs
457,PUBLICIS GROUPE,Bengaluru / Bangalore,"artificial intelligence  ,  sql  ,  crm  ,  python  ,  sas  ,  machine learning  ,  identity management  ,  sql programming",4 - 7 yrs
458,Epsilon,Bengaluru / Bangalore,"database  ,  data structures  ,  crm  ,  information management  ,  identity management",1 - 2 yrs
459,PUBLICIS GROUPE,Bengaluru / Bangalore,"customer insight  ,  customer segmentation  ,  campaigns  ,  marketing  ,  digital media",2 - 5 yrs
460,ABB,Bengaluru / Bangalore,"digital marketing  ,  campaigns  ,  marketing  ,  web analytics",2 - 5 yrs
461,Epsilon,Bengaluru / Bangalore,"big data  ,  python  ,  system management  ,  unix  ,  sql  ,  hadoop  ,  crm  ,  sas  ,  problem solving  ,  team player  ,  identity management  ,  written communication  ,  sas access",5 - 8 yrs
462,Careem,"Jeddah,  Pakistan","visualization  ,  hosting  ,  dashboards  ,  sql  ,  data analytics  ,  tableau  ,  analyst",8 - 11 yrs
463,Careem,Cairo,"visualization  ,  hosting  ,  dashboards  ,  sql  ,  data analytics  ,  tableau  ,  analyst",8 - 11 yrs
464,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
465,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
466,Cognizant Technology Solutions,Kolkata,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
467,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
468,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
469,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
470,automotiveMastermind Inc.,,"data mining  ,  sql  ,  xml  ,  software packages  ,  information management  ,  sas  ,  javascript  ,  production support  ,  business objects",3 - 6 yrs
471,Cognizant Technology Solutions,Pune,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
472,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
473,ConcertAI,,"bi  ,  healthcare  ,  user acceptance testing  ,  functionality testing  ,  uat  ,  integration testing",1 - 4 yrs
474,Epsilon,Bengaluru / Bangalore,"sql  ,  hadoop  ,  big data  ,  crm  ,  python  ,  sas  ,  system management  ,  problem solving  ,  team player  ,  identity management  ,  written communication  ,  sas access",5 - 9 yrs
475,Evolent Health,,"information technology  ,  sql  ,  ssrs",3 - 6 yrs
476,BOSTON SCIENTIFIC,"Delhi,  Delhi/NCR,  Pune","data validation  ,  healthcare  ,  test data  ,  database  ,  life cycle  ,  testing  ,  loading  ,  agile",3 - 5 yrs
477,Epsilon,Bengaluru / Bangalore,"artificial intelligence  ,  sql  ,  crm  ,  python  ,  sas  ,  machine learning  ,  identity management  ,  sql programming",4 - 7 yrs
478,Epsilon,Bengaluru / Bangalore,"artificial intelligence  ,  sql  ,  crm  ,  python  ,  sas  ,  machine learning  ,  identity management  ,  sql programming",4 - 7 yrs
479,Epsilon,Bengaluru / Bangalore,"customer insight  ,  customer segmentation  ,  campaigns  ,  marketing  ,  digital media",2 - 5 yrs
480,Cognizant Technology Solutions,Kolkata,"database  ,  c  ,   Minimal Customer interaction",0 - 3 yrs
481,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
482,Cognizant Technology Solutions,Hyderabad/Secunderabad,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
483,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
484,Cognizant Technology Solutions,Hyderabad/Secunderabad,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
485,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
486,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,  SOP  ,   QC checklists",0 - 3 yrs
487,Cognizant Technology Solutions,Mumbai,"database  ,  c  ,    ,  SOP  ,   QC checklists",0 - 3 yrs
